id,target,ps_ind_01,ps_ind_02_cat,ps_ind_03,ps_ind_04_cat,ps_ind_05_cat,ps_ind_06_bin,ps_ind_07_bin,ps_ind_08_bin,ps_ind_09_bin,ps_ind_10_bin,ps_ind_11_bin,ps_ind_12_bin,ps_ind_13_bin,ps_ind_14,ps_ind_15,ps_ind_16_bin,ps_ind_17_bin,ps_ind_18_bin,ps_reg_01,ps_reg_02,ps_reg_03,ps_car_01_cat,ps_car_02_cat,ps_car_03_cat,ps_car_04_cat,ps_car_05_cat,ps_car_06_cat,ps_car_07_cat,ps_car_08_cat,ps_car_09_cat,ps_car_10_cat,ps_car_11_cat,ps_car_11,ps_car_12,ps_car_13,ps_car_14,ps_car_15,ps_calc_01,ps_calc_02,ps_calc_03,ps_calc_04,ps_calc_05,ps_calc_06,ps_calc_07,ps_calc_08,ps_calc_09,ps_calc_10,ps_calc_11,ps_calc_12,ps_calc_13,ps_calc_14,ps_calc_15_bin,ps_calc_16_bin,ps_calc_17_bin,ps_calc_18_bin,ps_calc_19_bin,ps_calc_20_bin
43483,0,1,2,2,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0.9,1.2,1.3002403623999998,11,0,-1,0,-1,10,1,1,2,1,55,2,0.4472135954999999,1.1543664858,0.4174925149,3.7416573868,0.8,0.1,0.0,3,2,8,2,7,1,6,3,0,3,10,0,1,0,0,1,0
151482,0,5,1,7,1,5,1,0,0,0,0,0,0,0,0,12,1,0,0,0.9,1.6,1.6215347668,7,0,0,0,1,10,1,1,0,1,83,2,0.399374511,0.5419775544,0.3376388603,0.0,0.7,0.8,0.1,2,2,5,1,11,4,8,5,1,4,5,1,1,0,0,0,0
395699,0,0,1,5,1,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0.5,0.1,0.5402545696,11,1,0,0,0,11,1,1,2,1,53,2,0.4472135954999999,0.7412297131000001,0.3774917218,2.4494897428,0.4,0.6,0.0,3,4,9,2,11,3,12,6,2,1,6,0,1,0,0,0,0
1104199,0,3,1,2,1,0,0,0,1,0,0,0,0,0,0,6,0,1,0,0.7,0.4,0.662382065,11,1,-1,0,-1,7,1,1,2,1,79,3,0.3872983346,0.9343645916,0.39,3.6055512755,0.5,0.6,0.8,3,2,8,3,11,3,14,6,1,1,9,0,1,0,0,0,0
1335000,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0.3,0.4,-1.0,6,1,-1,0,-1,0,1,1,2,1,95,2,0.4,0.6992321645,0.3986226286,2.4494897428,0.4,0.5,0.8,4,2,5,2,8,3,9,1,3,6,11,0,0,0,1,1,0
63250,0,1,3,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.4,0.0,0.3201562119,6,1,-1,0,0,1,1,1,0,1,38,2,0.316227766,0.751220082,0.3598610843,3.4641016151,0.7,0.9,0.0,3,1,10,3,10,2,4,4,0,6,4,0,1,1,1,1,0
79200,0,0,1,7,0,0,0,0,0,1,0,0,0,0,0,8,1,0,0,0.8,0.4,0.8181534086,7,1,1,0,0,14,1,0,0,1,60,1,0.316227766,0.7178796833,0.3070830507,3.6055512755,0.6,0.6,0.4,2,3,8,1,9,1,8,4,0,6,8,0,0,1,0,1,1
1086425,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0.7,0.2,0.5695392875,10,1,-1,0,-1,11,1,1,2,1,19,3,0.316227766,0.6087685714,0.3887158345,2.6457513111,0.7,0.6,0.8,4,1,8,2,8,3,14,2,1,3,10,0,0,0,0,0,0
1371691,0,5,1,9,1,0,0,0,0,1,0,0,0,0,0,13,1,0,0,0.6,0.6,0.631466547,7,1,-1,0,-1,4,1,1,2,1,104,2,0.3997499218,0.6167429779,0.3917907604999999,2.2360679775,0.4,0.8,0.5,1,3,7,2,10,1,13,5,2,3,8,1,1,1,0,1,1
352879,0,1,1,9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.4,0.3,0.7445636306,7,1,-1,0,-1,14,1,1,0,1,42,2,0.4,0.6868300643,0.3937003937,2.8284271247,0.5,0.3,0.0,1,3,8,4,8,4,2,7,4,3,5,0,1,1,0,1,0
1019077,0,1,1,3,1,0,1,0,0,0,0,0,0,0,0,11,1,0,0,0.6,0.3,0.5700877125,11,1,-1,0,-1,0,1,1,2,1,37,2,0.316227766,0.746520856,0.3754996671,3.4641016151,0.9,0.6,0.0,5,2,9,2,10,4,4,5,0,0,7,0,1,1,1,1,1
250310,0,0,1,7,0,3,1,0,0,0,0,0,0,0,0,3,0,0,1,0.3,0.0,-1.0,7,1,-1,0,-1,11,1,1,0,1,99,2,0.316227766,0.5695800976,0.3687817783,2.2360679775,0.5,0.8,0.6,1,1,8,2,12,6,6,4,2,6,8,0,1,0,0,0,0
1003741,0,0,1,6,0,3,1,0,0,0,0,0,0,0,0,8,1,0,0,0.3,0.0,-1.0,7,1,-1,0,-1,0,1,0,2,1,32,3,0.316227766,0.7592133815000001,0.3615245497,3.7416573868,0.1,0.4,0.3,2,2,9,4,8,2,4,7,2,2,11,0,0,1,1,1,0
359645,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0.9,0.0,0.3840572874,6,1,-1,0,0,0,1,1,0,1,34,2,0.4,0.7916141058,0.3780211634,3.4641016151,0.2,0.8,0.9,3,1,9,1,7,3,5,4,4,2,3,0,0,0,0,1,0
616150,0,1,1,8,0,0,1,0,0,0,0,0,0,0,0,12,1,0,0,0.7,0.1,0.4,7,1,1,0,1,1,1,1,0,1,31,3,0.3741657387,0.6764943666,0.3140063694,2.6457513111,0.1,0.2,0.2,3,2,7,1,12,2,9,6,2,2,11,1,0,0,0,0,0
639801,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.9334077351,9,1,-1,0,-1,6,0,1,2,1,26,3,0.4,0.598448407,0.3907684736999999,2.4494897428,0.8,0.0,0.2,2,4,7,1,12,3,8,6,0,2,7,1,0,1,0,0,0
933835,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0.6,0.2,0.5465802777000001,11,1,1,0,1,1,1,1,1,1,51,2,0.3741657387,0.8383868809,0.3307567082,3.6055512755,0.2,0.9,0.1,2,2,8,3,7,2,8,7,1,2,7,0,0,0,0,0,1
1373109,0,3,1,7,0,0,0,0,0,1,0,0,0,0,0,12,1,0,0,0.8,0.3,0.7607562027,11,0,1,0,0,11,1,1,2,1,2,3,0.4242640687,0.9774946894,-1.0,3.6055512755,0.8,0.1,0.1,2,0,6,4,9,2,5,6,2,5,7,0,1,1,0,0,0
28416,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.9,0.5,0.9400797838,6,1,-1,0,1,11,1,1,0,1,99,2,0.3155946768,0.5023704142000001,0.3734969878999999,0.0,0.7,0.0,0.9,3,1,8,2,10,3,11,6,2,2,8,0,1,0,1,1,0
1441675,0,0,1,7,0,4,0,1,0,0,0,0,0,0,0,10,0,0,0,0.8,0.6,-1.0,11,1,0,0,0,0,1,1,2,1,62,3,0.4,0.788646188,0.32,2.8284271247,0.5,0.7,0.2,2,3,5,4,11,1,6,4,4,5,7,0,1,0,0,0,1
90698,0,5,1,11,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0.6,0.6,1.0389297378,11,0,-1,0,-1,15,1,1,2,1,5,2,0.4242640687,0.7403372026,0.3958535083,2.0,0.0,0.0,0.7,1,1,7,6,12,2,13,7,3,3,6,0,1,1,0,0,1
468435,0,1,1,8,0,0,1,0,0,0,0,0,0,0,0,11,1,0,0,0.8,0.2,0.4763139721,7,1,-1,0,-1,0,1,1,2,1,66,3,0.3998749805,0.6691396968,0.3817066937,2.4494897428,0.7,0.6,0.2,3,1,8,5,9,3,9,7,1,4,8,0,0,1,1,1,1
901383,0,1,1,5,0,4,0,0,1,0,0,0,0,0,0,6,1,0,0,0.1,0.3,-1.0,11,1,-1,0,-1,11,1,1,2,1,11,2,0.316227766,0.6873562959999999,0.3687817783,3.4641016151,0.0,0.5,0.0,2,3,7,6,11,0,11,9,3,4,6,0,0,0,0,1,0
599703,0,6,1,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0.2,0.3,-1.0,10,1,-1,0,1,14,1,1,0,1,104,1,0.4240283009,0.422678394,0.3949683532,0.0,0.4,0.2,0.2,3,0,7,3,9,2,5,6,0,3,9,0,1,0,0,0,1
1004338,0,0,1,5,1,0,0,1,0,0,0,0,0,0,0,7,1,0,0,0.5,0.5,0.9233092656,10,1,-1,8,0,13,1,0,0,1,104,2,0.4472135954999999,1.3597520435,0.4444097209,3.6055512755,0.3,0.8,0.3,1,3,6,6,10,4,7,10,2,2,11,0,0,1,1,1,0
833013,0,4,1,4,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0.1,0.3,-1.0,5,0,1,1,0,9,0,0,0,1,61,3,0.4472135954999999,1.1277033635,0.3819685851,3.4641016151,0.8,0.5,0.5,1,3,7,2,11,0,10,3,2,5,12,0,0,0,1,1,0
1393150,0,3,1,5,1,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0.4,0.0,0.7553972465000001,7,0,-1,0,-1,10,1,1,2,1,28,3,0.3741657387,0.8047726951999999,0.3807886553,2.8284271247,0.5,0.2,0.2,3,5,7,3,9,0,9,6,1,2,9,0,1,1,1,0,0
283789,0,2,1,11,0,0,1,0,0,0,0,0,0,0,0,7,1,0,0,0.4,0.3,0.6118619125,7,1,-1,0,-1,1,1,1,2,1,64,3,0.3160696126,0.5176233035,0.3640054945,1.7320508076,0.6,0.7,0.4,3,0,7,1,10,2,7,2,1,3,10,0,1,1,0,1,0
501271,0,0,4,11,0,0,1,0,0,0,0,0,0,0,0,12,0,0,1,0.1,0.1,-1.0,7,1,-1,0,-1,11,1,1,2,1,44,3,0.4458699362,0.6791462798000001,0.4024922359,2.2360679775,0.8,0.0,0.7,3,2,9,2,12,1,13,6,1,2,7,0,1,1,1,0,0
398365,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,6,0,1,0,0.4,0.2,0.638846617,7,1,-1,0,-1,14,1,1,2,1,104,1,0.3160696126,0.4832739585,0.3556683849,1.4142135624,0.1,0.5,0.8,4,3,10,3,8,4,12,3,2,2,9,0,1,1,1,1,1
144265,0,2,1,11,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0.6,0.2,0.5006246099,7,1,-1,0,-1,1,1,1,2,1,31,3,0.3605551275,0.5798439516,0.3937003937,1.7320508076,0.3,0.3,0.1,3,1,9,5,11,4,5,11,1,4,5,0,1,1,0,1,0
1403383,0,1,2,4,0,0,1,0,0,0,0,0,0,0,0,9,1,0,0,0.7,0.0,0.4107919181,7,1,-1,0,-1,4,1,1,2,0,50,2,0.4,0.6877619711,0.3943348831,3.1622776602,0.0,0.3,0.3,2,1,8,4,8,2,8,7,1,7,9,0,1,0,0,0,0
1016520,0,1,1,6,0,1,1,0,0,0,0,0,0,0,0,9,1,0,0,0.2,0.2,-1.0,7,1,-1,0,-1,1,1,1,2,1,80,3,0.316227766,0.7549560767,-1.0,3.6055512755,0.7,0.7,0.0,3,3,9,4,8,1,9,4,3,4,5,0,1,1,1,1,0
247130,0,0,1,4,1,0,0,1,0,0,0,0,0,0,0,12,1,0,0,0.8,0.3,0.7834219808,7,0,1,0,1,11,1,0,2,1,2,3,0.4242640687,1.0821237154,-1.0,3.7416573868,0.5,0.6,0.8,3,1,6,2,10,1,12,4,2,4,6,0,0,0,0,1,0
779594,0,2,2,1,0,3,0,0,0,1,0,0,0,0,0,8,0,0,0,0.9,1.8,1.9813190051,10,1,1,0,1,4,1,1,2,1,84,3,0.316227766,0.7114761747,0.3201562119,3.3166247904,0.6,0.4,0.1,2,3,8,5,10,2,3,9,0,2,9,0,0,0,0,0,0
247228,0,0,1,7,0,3,1,0,0,0,0,0,0,0,0,6,1,0,0,0.8,0.3,0.8050621094,7,1,-1,0,-1,11,1,1,2,1,103,3,0.316227766,0.6327168233,0.3583294573,3.0,0.0,0.8,0.5,2,2,9,3,10,3,13,9,0,0,12,0,1,0,0,1,0
918297,0,6,1,7,0,6,0,0,1,0,0,0,0,0,0,13,0,1,0,0.8,0.3,0.8470537173,0,1,-1,0,1,1,1,1,0,1,64,1,0.316227766,0.5535385792,0.3619392214,2.4494897428,0.1,0.2,0.8,2,2,7,3,12,1,6,5,0,3,9,0,1,0,0,1,0
807202,0,3,1,6,0,0,0,0,0,1,0,0,0,0,0,10,1,0,0,0.6,0.8,0.504356025,10,0,-1,8,1,13,1,1,0,1,20,3,0.4472135954999999,0.7882924322,0.4295346318999999,2.2360679775,0.1,0.2,0.8,2,2,8,2,8,1,10,5,1,3,6,0,0,0,0,1,1
343839,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0.6,0.2,0.6368869601,11,1,-1,0,-1,1,1,0,2,1,38,3,0.316227766,0.7913909190999999,0.3598610843,3.6055512755,0.2,0.8,0.0,1,3,9,4,7,3,8,5,1,2,8,0,0,0,0,1,0
848204,0,5,1,3,0,0,1,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.4,0.703562364,7,1,-1,0,-1,14,1,1,3,1,104,1,0.3160696126,0.4815393704,0.3556683849,1.4142135624,0.5,0.4,0.7,4,0,8,2,10,6,8,5,1,6,5,1,1,0,0,1,0
134227,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0.9,0.2,0.523808171,7,1,-1,0,-1,10,1,1,1,1,83,2,0.4242640687,0.9453343455,0.396484552,3.1622776602,0.1,0.3,0.1,2,4,8,5,11,4,8,6,0,6,2,0,1,1,1,0,0
54044,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0.5,0.3,0.7850159234,5,1,0,0,0,6,0,1,2,1,27,3,0.3741657387,0.7314369419,0.3204684071999999,3.3166247904,0.4,0.5,0.7,3,1,7,3,9,3,6,6,0,2,4,0,0,1,1,0,0
747725,0,3,1,3,0,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0.4,0.3,0.8426149773,9,1,1,0,1,1,1,1,2,1,65,1,0.316227766,0.5537251757,0.2880972058,2.8284271247,0.6,0.8,0.0,2,1,6,5,10,4,15,4,5,5,10,0,1,1,0,0,0
560395,0,2,1,5,1,0,0,1,0,0,0,0,0,0,0,12,0,0,1,0.7,0.3,0.6814506585,7,1,-1,0,-1,1,1,0,2,1,52,3,0.3741657387,0.8538984495,0.3598610843,3.6055512755,0.3,0.3,0.0,3,2,7,0,7,1,14,4,0,2,6,0,0,1,0,0,0
1142351,0,3,1,5,1,4,0,1,0,0,0,0,0,0,0,6,0,0,0,0.9,0.8,1.0547511555,11,1,-1,8,-1,4,1,1,2,1,6,3,0.4,0.9397115788,0.4121892768999999,3.4641016151,0.2,0.5,0.2,3,1,8,3,9,0,7,3,1,2,7,0,1,1,1,0,0
511585,1,0,2,2,0,0,0,0,1,0,0,0,0,0,0,8,1,0,0,0.1,0.3,-1.0,7,1,-1,0,-1,14,1,0,2,1,60,1,0.316227766,0.7529185637000001,0.3472751071,3.6055512755,0.7,0.8,0.9,3,1,8,0,10,3,6,5,3,1,4,0,1,1,0,0,1
1203374,0,0,1,7,1,0,0,1,0,0,0,0,0,0,0,7,1,0,0,0.7,0.5,0.7344215411,10,1,-1,0,1,1,1,1,0,1,65,1,0.316227766,0.6252767982,0.3521363372,3.1622776602,0.2,0.1,0.6,4,4,8,2,10,2,11,4,1,1,9,0,0,1,0,0,0
981279,0,7,1,8,0,0,0,0,0,1,0,0,0,0,0,13,1,0,0,0.8,0.5,1.2918010683,6,1,-1,0,1,11,1,1,0,1,104,1,0.4469899328,0.4807019661,0.3867815921,0.0,0.6,0.8,0.1,3,2,7,4,9,2,8,4,3,1,6,0,0,0,0,1,1
686832,0,7,1,5,0,0,1,0,0,0,0,0,0,0,0,9,1,0,0,0.6,0.9,0.8742854225,0,0,-1,8,1,9,1,1,0,1,13,3,0.4472135954999999,0.9766488495,0.4679743583,3.1622776602,0.2,0.5,0.1,5,3,7,4,9,2,8,3,0,2,8,0,1,1,0,1,0
930517,0,0,1,6,0,0,0,1,0,0,0,0,0,0,0,8,1,0,0,0.4,0.0,-1.0,8,1,-1,8,1,11,1,1,0,1,71,2,0.5291502621999999,1.5495533881,0.4949747468,3.6055512755,0.8,0.7,0.4,5,2,10,3,10,2,8,5,1,2,8,0,0,1,0,1,0
483289,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,9,1,0,0,0.7,0.7,1.2626856299,7,1,-1,0,-1,11,1,1,2,1,103,1,0.316227766,0.5798795828,0.3583294573,2.8284271247,0.4,0.9,0.9,3,1,8,2,11,2,8,2,4,1,7,0,1,0,0,0,0
372513,0,2,1,11,0,0,1,0,0,0,0,0,0,0,0,12,0,0,1,0.8,0.4,1.0347101043,7,1,-1,0,-1,0,1,1,2,1,34,2,0.4,0.7498484695000001,-1.0,3.0,0.6,0.5,0.5,2,3,10,3,8,3,14,4,1,4,6,0,1,1,0,1,0
501436,0,2,2,3,0,0,0,0,0,1,0,0,0,0,0,9,0,1,0,0.6,0.4,0.8066132901999999,3,1,-1,0,-1,4,1,1,1,1,104,2,0.4,0.7393318404000001,0.3938273734,3.1622776602,0.2,0.0,0.5,3,0,9,5,9,2,7,7,1,5,8,0,1,1,0,0,0
169594,0,1,2,2,0,0,0,0,1,0,0,0,0,0,0,6,0,1,0,0.8,0.6,1.4413535305,11,1,1,0,0,11,1,1,2,1,103,3,0.316227766,0.7051903206999999,0.2887905816,3.4641016151,0.6,0.4,0.7,4,3,8,1,10,2,8,4,0,2,10,1,1,1,0,0,1
620717,0,3,1,2,1,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0.1,0.3,-1.0,11,0,-1,0,-1,11,1,1,2,1,53,2,0.4898979486,0.7917184990999999,0.4306971093,2.4494897428,0.4,0.1,0.9,3,2,9,2,11,3,17,8,2,1,7,0,0,1,0,0,0
785647,0,3,1,5,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.7352720585,11,0,-1,1,-1,9,1,1,2,1,61,3,0.4472135954999999,0.9619947423,0.5204805472,3.1622776602,0.4,0.0,0.5,2,3,9,4,9,6,7,7,0,3,12,0,1,1,0,1,0
1306937,0,0,3,7,1,0,0,0,1,0,0,0,0,0,0,6,1,0,0,0.4,0.3,0.5595757321,11,1,0,0,0,14,1,1,2,1,60,1,0.316227766,0.633663101,0.3070830507,3.3166247904,0.3,0.4,0.2,5,2,10,1,10,2,9,4,2,5,6,1,1,0,1,0,0
691371,0,0,1,11,0,0,1,0,0,0,0,0,0,0,0,8,0,0,1,0.9,0.5,1.166726189,10,1,-1,0,1,0,1,0,0,1,34,2,0.4,0.89366457,0.3780211634,3.7416573868,0.1,0.1,0.6,2,1,8,3,7,1,12,4,1,2,9,0,0,1,0,0,0
947357,0,2,1,4,1,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0.8,0.6,1.7700635582,6,1,-1,0,-1,1,1,1,2,1,40,2,0.3741657387,0.7051903206999999,0.3814446225,2.8284271247,0.8,0.1,0.4,1,2,5,5,11,3,8,8,1,7,7,0,1,1,0,1,0
429381,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,7,1,0,0,0.3,0.0,0.4898979486,7,1,-1,0,-1,11,1,1,2,1,103,1,0.316227766,0.5740245049,0.3583294573,2.6457513111,0.8,0.3,0.1,4,1,7,4,10,3,7,7,0,4,4,0,0,0,0,0,0
1261135,0,7,1,9,0,0,0,0,0,1,0,0,0,0,0,10,1,0,0,0.8,1.4,1.3997767679,11,1,1,0,1,14,1,1,0,1,29,3,0.4472135954999999,0.9114174774,0.3845776904999999,3.1622776602,0.2,0.8,0.2,2,3,7,5,7,2,7,5,4,3,7,0,1,1,0,0,0
785348,0,2,2,10,1,0,0,0,0,1,0,0,0,0,0,13,1,0,0,0.2,0.2,-1.0,7,1,-1,0,-1,4,1,0,2,1,84,3,0.316227766,0.8481871772,0.3667424164,3.7416573868,0.7,0.2,0.0,2,1,6,1,7,1,6,4,3,5,3,1,1,1,1,0,0
540168,0,0,2,0,0,-1,0,1,0,0,0,0,0,0,0,7,1,0,0,0.9,1.3,1.7590835682,11,1,1,1,1,0,-1,0,2,1,104,3,0.3741657387,1.3015486643,0.3489985672999999,3.7416573868,0.7,0.1,0.4,2,1,7,6,11,2,7,5,0,5,10,0,0,1,1,1,0
770034,0,2,1,3,0,0,1,0,0,0,0,0,0,0,0,11,1,0,0,0.4,0.2,0.527967802,11,1,1,0,1,0,1,1,2,1,87,3,0.316227766,0.7275993584999999,0.2944486373,3.4641016151,0.8,0.6,0.0,2,1,6,2,9,3,11,4,2,3,6,0,0,1,0,1,0
444882,0,3,1,2,0,0,0,0,1,0,0,0,0,0,0,8,1,0,0,0.9,1.5,1.5099668871,11,1,-1,0,-1,0,1,1,2,1,95,2,0.4,0.8852790567000001,0.4013726447999999,3.3166247904,0.9,0.7,0.5,3,2,9,2,8,3,9,4,4,4,11,0,0,0,1,1,0
537155,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,8,1,0,0,0.9,0.4,0.9307255234,10,1,-1,0,1,0,1,0,0,1,87,2,0.316227766,0.8454667643000001,0.3615245497,3.7416573868,0.6,0.2,0.0,1,3,8,2,11,4,13,3,1,3,8,0,1,0,0,1,0
482354,0,4,1,4,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0.9,0.3,0.4493050189,4,1,-1,0,1,11,1,1,0,1,104,3,0.4,0.5560709272,0.3788139385,1.0,0.5,0.1,0.6,3,2,9,6,9,1,10,7,1,1,9,0,1,0,0,0,0
101876,0,5,2,6,1,0,0,1,0,0,0,0,0,0,0,9,0,0,1,0.7,0.5,0.7578753196,7,1,1,0,1,0,1,1,2,1,86,3,0.4,0.9289312263,0.3424908758,3.3166247904,0.6,0.9,0.9,3,3,8,2,5,2,12,9,1,4,10,0,1,1,0,0,0
233522,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.6,0.9188987975,6,1,-1,0,0,14,1,1,0,1,104,2,0.316227766,0.6464301206,0.3937003937,2.8284271247,0.6,0.6,0.0,2,2,6,2,11,3,8,5,0,0,7,0,1,0,0,0,0
1091869,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,11,1,0,0,0.9,0.4,1.0931605555,7,1,-1,0,-1,11,1,1,2,1,99,2,0.3155946768,0.532555821,0.3734969878999999,1.4142135624,0.4,0.0,0.6,2,3,9,2,5,2,8,7,3,5,6,0,1,1,0,0,0
215842,0,7,1,8,1,0,0,0,0,1,0,0,0,0,0,12,1,0,0,0.8,0.0,1.6835602157,6,1,-1,0,1,10,1,1,0,1,89,2,0.3872983346,1.0517444187,0.4086563347999999,3.6055512755,0.9,0.7,0.8,3,1,8,2,11,2,7,7,1,0,5,1,1,1,1,0,0
975919,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,0,0.6,1.1,1.4315638302,11,1,-1,0,-1,14,1,1,2,1,29,3,0.4,0.7561319575,0.3984971768999999,3.0,0.3,0.8,0.1,3,2,7,0,8,1,12,4,2,7,15,0,0,1,0,0,0
655480,0,5,1,7,1,6,0,0,0,1,0,0,0,0,0,9,1,0,0,0.9,1.5,1.8768324379,11,1,-1,0,-1,1,1,1,0,1,104,3,0.4242640687,0.9908361107,0.43829214,3.4641016151,0.9,0.5,0.7,3,3,8,2,11,2,8,9,1,2,8,0,0,1,0,1,0
